2019.10.06 20:57:07.302 MSK INFO: *** SYSTEM START *** -- SystemUtilities.logSystemInfo()
2019.10.06 20:57:07.336 MSK CONFIG: Protege 3.5 Build 663, JVM 11.0.2+9-LTS, memory=2076M, Linux, encoding=UTF-8, language=en, country=US -- SystemUtilities.logSystemInfo()
2019.10.06 20:57:07.339 MSK WARNING: Plugins directory not found: /home/ru/clojure/simpro-scene/plugins -- PluginUtilities.findPluginsDirectory()
2019.10.06 20:57:08.151 MSK WARNING: missing bundle: standard_extensions_text -- BundleHelper.<init>()
2019.10.06 20:57:08.158 MSK WARNING: no resource bundle: tab.queries -- BundleHelper.internalGetText()
2019.10.06 20:57:08.885 MSK WARNING: Look and feel not found:  -- SystemUtilities.setLookAndFeel()
2019.10.06 20:57:09.722 MSK WARNING: missing bundle: protege_text -- BundleHelper.<init>()
2019.10.06 20:57:15.692 MSK INFO: Load time for file:/home/ru/clojure/simpro-scene/pprj_examples/Hiitolanjoki.pprj = 0 sec (project) + 2 sec (ui) -- ProjectManager$3.run()
2019.10.06 21:40:58.205 MSK INFO: Load time for file:/home/ru/clojure/simpro-scene/pprj_examples/Hiitolanjoki.pprj = 0 sec (project) + 0 sec (ui) -- ProjectManager$3.run()
2019.10.06 21:49:04.894 MSK WARNING: has been deleted: MapInspector_Class20000 -- InstanceStorer.isStorableInstance()
2019.10.06 21:49:04.894 MSK WARNING: has been deleted: MapInspector_Class20001 -- InstanceStorer.isStorableInstance()
2019.10.06 21:49:04.894 MSK WARNING: has been deleted: MapInspector_Class20002 -- InstanceStorer.isStorableInstance()
2019.10.06 21:49:04.894 MSK WARNING: has been deleted: MapInspector_Class20003 -- InstanceStorer.isStorableInstance()
2019.10.06 21:49:04.894 MSK WARNING: has been deleted: MapInspector_Class20004 -- InstanceStorer.isStorableInstance()
2019.10.06 21:49:04.894 MSK WARNING: has been deleted: MapInspector_Class20005 -- InstanceStorer.isStorableInstance()
2019.10.06 21:49:04.894 MSK WARNING: has been deleted: MapInspector_Class20006 -- InstanceStorer.isStorableInstance()
2019.10.06 21:49:04.895 MSK WARNING: has been deleted: MapInspector_Class20007 -- InstanceStorer.isStorableInstance()
2019.10.06 21:49:04.895 MSK WARNING: has been deleted: MapInspector_Class20008 -- InstanceStorer.isStorableInstance()
2019.10.06 21:49:04.895 MSK WARNING: has been deleted: MapInspector_Class20009 -- InstanceStorer.isStorableInstance()
2019.10.06 21:49:04.895 MSK WARNING: has been deleted: MapInspector_Class20010 -- InstanceStorer.isStorableInstance()
2019.10.06 21:49:04.895 MSK WARNING: has been deleted: MapInspector_Class20011 -- InstanceStorer.isStorableInstance()
2019.10.06 21:49:04.895 MSK WARNING: has been deleted: MapInspector_Class20012 -- InstanceStorer.isStorableInstance()
2019.10.06 21:49:04.895 MSK WARNING: has been deleted: MapInspector_Class20013 -- InstanceStorer.isStorableInstance()
2019.10.06 21:49:04.896 MSK WARNING: has been deleted: MapInspector_Class20014 -- InstanceStorer.isStorableInstance()
2019.10.06 21:49:04.896 MSK WARNING: has been deleted: MapInspector_Class20015 -- InstanceStorer.isStorableInstance()
2019.10.06 21:49:04.896 MSK WARNING: has been deleted: MapInspector_Class20016 -- InstanceStorer.isStorableInstance()
2019.10.06 21:49:04.896 MSK WARNING: has been deleted: MapInspector_Class20017 -- InstanceStorer.isStorableInstance()
2019.10.06 21:49:04.896 MSK WARNING: has been deleted: MapInspector_Class20018 -- InstanceStorer.isStorableInstance()
2019.10.06 21:50:53.308 MSK WARNING: has been deleted: MapInspector_Class20000 -- InstanceStorer.isStorableInstance()
2019.10.06 21:50:53.308 MSK WARNING: has been deleted: MapInspector_Class20001 -- InstanceStorer.isStorableInstance()
2019.10.06 21:50:53.308 MSK WARNING: has been deleted: MapInspector_Class20002 -- InstanceStorer.isStorableInstance()
2019.10.06 21:50:53.308 MSK WARNING: has been deleted: MapInspector_Class20003 -- InstanceStorer.isStorableInstance()
2019.10.06 21:50:53.308 MSK WARNING: has been deleted: MapInspector_Class20004 -- InstanceStorer.isStorableInstance()
2019.10.06 21:50:53.308 MSK WARNING: has been deleted: MapInspector_Class20005 -- InstanceStorer.isStorableInstance()
2019.10.06 21:50:53.309 MSK WARNING: has been deleted: MapInspector_Class20006 -- InstanceStorer.isStorableInstance()
2019.10.06 21:50:53.309 MSK WARNING: has been deleted: MapInspector_Class20007 -- InstanceStorer.isStorableInstance()
2019.10.06 21:50:53.309 MSK WARNING: has been deleted: MapInspector_Class20008 -- InstanceStorer.isStorableInstance()
2019.10.06 21:50:53.309 MSK WARNING: has been deleted: MapInspector_Class20009 -- InstanceStorer.isStorableInstance()
2019.10.06 21:50:53.309 MSK WARNING: has been deleted: MapInspector_Class20010 -- InstanceStorer.isStorableInstance()
2019.10.06 21:50:53.309 MSK WARNING: has been deleted: MapInspector_Class20011 -- InstanceStorer.isStorableInstance()
2019.10.06 21:50:53.309 MSK WARNING: has been deleted: MapInspector_Class20012 -- InstanceStorer.isStorableInstance()
2019.10.06 21:50:53.309 MSK WARNING: has been deleted: MapInspector_Class20013 -- InstanceStorer.isStorableInstance()
2019.10.06 21:50:53.309 MSK WARNING: has been deleted: MapInspector_Class20014 -- InstanceStorer.isStorableInstance()
2019.10.06 21:50:53.309 MSK WARNING: has been deleted: MapInspector_Class20015 -- InstanceStorer.isStorableInstance()
2019.10.06 21:50:53.310 MSK WARNING: has been deleted: MapInspector_Class20016 -- InstanceStorer.isStorableInstance()
2019.10.06 21:50:53.310 MSK WARNING: has been deleted: MapInspector_Class20017 -- InstanceStorer.isStorableInstance()
2019.10.06 21:50:53.310 MSK WARNING: has been deleted: MapInspector_Class20018 -- InstanceStorer.isStorableInstance()
2019.10.06 21:58:14.327 MSK WARNING: has been deleted: MapInspector_Class20000 -- InstanceStorer.isStorableInstance()
2019.10.06 21:58:14.328 MSK WARNING: has been deleted: MapInspector_Class20001 -- InstanceStorer.isStorableInstance()
2019.10.06 21:58:14.328 MSK WARNING: has been deleted: MapInspector_Class20002 -- InstanceStorer.isStorableInstance()
2019.10.06 21:58:14.328 MSK WARNING: has been deleted: MapInspector_Class20003 -- InstanceStorer.isStorableInstance()
2019.10.06 21:58:14.328 MSK WARNING: has been deleted: MapInspector_Class20004 -- InstanceStorer.isStorableInstance()
2019.10.06 21:58:14.328 MSK WARNING: has been deleted: MapInspector_Class20005 -- InstanceStorer.isStorableInstance()
2019.10.06 21:58:14.328 MSK WARNING: has been deleted: MapInspector_Class20006 -- InstanceStorer.isStorableInstance()
2019.10.06 21:58:14.329 MSK WARNING: has been deleted: MapInspector_Class20007 -- InstanceStorer.isStorableInstance()
2019.10.06 21:58:14.329 MSK WARNING: has been deleted: MapInspector_Class20008 -- InstanceStorer.isStorableInstance()
2019.10.06 21:58:14.329 MSK WARNING: has been deleted: MapInspector_Class20009 -- InstanceStorer.isStorableInstance()
2019.10.06 21:58:14.329 MSK WARNING: has been deleted: MapInspector_Class20010 -- InstanceStorer.isStorableInstance()
2019.10.06 21:58:14.329 MSK WARNING: has been deleted: MapInspector_Class20011 -- InstanceStorer.isStorableInstance()
2019.10.06 21:58:14.329 MSK WARNING: has been deleted: MapInspector_Class20012 -- InstanceStorer.isStorableInstance()
2019.10.06 21:58:14.329 MSK WARNING: has been deleted: MapInspector_Class20013 -- InstanceStorer.isStorableInstance()
2019.10.06 21:58:14.329 MSK WARNING: has been deleted: MapInspector_Class20014 -- InstanceStorer.isStorableInstance()
2019.10.06 21:58:14.329 MSK WARNING: has been deleted: MapInspector_Class20015 -- InstanceStorer.isStorableInstance()
2019.10.06 21:58:14.329 MSK WARNING: has been deleted: MapInspector_Class20016 -- InstanceStorer.isStorableInstance()
2019.10.06 21:58:14.330 MSK WARNING: has been deleted: MapInspector_Class20017 -- InstanceStorer.isStorableInstance()
2019.10.06 21:58:14.330 MSK WARNING: has been deleted: MapInspector_Class20018 -- InstanceStorer.isStorableInstance()
2019.10.06 22:01:19.409 MSK WARNING: has been deleted: MapInspector_Class20000 -- InstanceStorer.isStorableInstance()
2019.10.06 22:01:19.410 MSK WARNING: has been deleted: MapInspector_Class20001 -- InstanceStorer.isStorableInstance()
2019.10.06 22:01:19.410 MSK WARNING: has been deleted: MapInspector_Class20002 -- InstanceStorer.isStorableInstance()
2019.10.06 22:01:19.410 MSK WARNING: has been deleted: MapInspector_Class20003 -- InstanceStorer.isStorableInstance()
2019.10.06 22:01:19.410 MSK WARNING: has been deleted: MapInspector_Class20004 -- InstanceStorer.isStorableInstance()
2019.10.06 22:01:19.410 MSK WARNING: has been deleted: MapInspector_Class20005 -- InstanceStorer.isStorableInstance()
2019.10.06 22:01:19.410 MSK WARNING: has been deleted: MapInspector_Class20006 -- InstanceStorer.isStorableInstance()
2019.10.06 22:01:19.410 MSK WARNING: has been deleted: MapInspector_Class20007 -- InstanceStorer.isStorableInstance()
2019.10.06 22:01:19.410 MSK WARNING: has been deleted: MapInspector_Class20008 -- InstanceStorer.isStorableInstance()
2019.10.06 22:01:19.410 MSK WARNING: has been deleted: MapInspector_Class20009 -- InstanceStorer.isStorableInstance()
2019.10.06 22:01:19.411 MSK WARNING: has been deleted: MapInspector_Class20010 -- InstanceStorer.isStorableInstance()
2019.10.06 22:01:19.411 MSK WARNING: has been deleted: MapInspector_Class20011 -- InstanceStorer.isStorableInstance()
2019.10.06 22:01:19.411 MSK WARNING: has been deleted: MapInspector_Class20012 -- InstanceStorer.isStorableInstance()
2019.10.06 22:01:19.411 MSK WARNING: has been deleted: MapInspector_Class20013 -- InstanceStorer.isStorableInstance()
2019.10.06 22:01:19.411 MSK WARNING: has been deleted: MapInspector_Class20014 -- InstanceStorer.isStorableInstance()
2019.10.06 22:01:19.411 MSK WARNING: has been deleted: MapInspector_Class20015 -- InstanceStorer.isStorableInstance()
2019.10.06 22:01:19.411 MSK WARNING: has been deleted: MapInspector_Class20016 -- InstanceStorer.isStorableInstance()
2019.10.06 22:01:19.411 MSK WARNING: has been deleted: MapInspector_Class20017 -- InstanceStorer.isStorableInstance()
2019.10.06 22:01:19.411 MSK WARNING: has been deleted: MapInspector_Class20018 -- InstanceStorer.isStorableInstance()
2019.10.06 22:03:45.342 MSK WARNING: has been deleted: MapInspector_Class20000 -- InstanceStorer.isStorableInstance()
2019.10.06 22:03:45.342 MSK WARNING: has been deleted: MapInspector_Class20001 -- InstanceStorer.isStorableInstance()
2019.10.06 22:03:45.342 MSK WARNING: has been deleted: MapInspector_Class20002 -- InstanceStorer.isStorableInstance()
2019.10.06 22:03:45.342 MSK WARNING: has been deleted: MapInspector_Class20003 -- InstanceStorer.isStorableInstance()
